Judge,Product,Session,Replica,Sequence,Code,beany odour,sweetness,creaminess
1,P1_CL1_1,1,1,NA,NA,3,3,2
1,P1_CL2_1,1,1,NA,NA,2,4,1
1,P1_CL3_1,1,1,NA,NA,1,1,4
1,P1_CL4_1,1,1,NA,NA,4,2,2
2,P1_CL1_1,1,1,NA,NA,3,2,1
2,P1_CL2_1,1,1,NA,NA,1,3,4
2,P1_CL3_1,1,1,NA,NA,4,4,2
2,P1_CL4_1,1,1,NA,NA,2,1,3
3,P1_CL1_1,1,1,NA,NA,3,1,3
3,P1_CL2_1,1,1,NA,NA,4,2,2
3,P1_CL3_1,1,1,NA,NA,2,4,4
3,P1_CL4_1,1,1,NA,NA,1,3,1
4,P1_CL1_1,1,1,NA,NA,3,1,2
4,P1_CL2_1,1,1,NA,NA,1,4,4
4,P1_CL3_1,1,1,NA,NA,2,3,3
4,P1_CL4_1,1,1,NA,NA,4,2,1
5,P1_CL1_1,1,1,NA,NA,2,4,2
5,P1_CL2_1,1,1,NA,NA,1,2,4
5,P1_CL3_1,1,1,NA,NA,3,3,1
5,P1_CL4_1,1,1,NA,NA,4,1,3
6,P1_CL1_1,1,1,NA,NA,1,1,4
6,P1_CL2_1,1,1,NA,NA,3,2,2
6,P1_CL3_1,1,1,NA,NA,2,3,3
6,P1_CL4_1,1,1,NA,NA,4,4,1
7,P1_CL1_1,1,1,NA,NA,1,4,4
7,P1_CL2_1,1,1,NA,NA,2,2,2
7,P1_CL3_1,1,1,NA,NA,4,1,3
7,P1_CL4_1,1,1,NA,NA,3,3,1
8,P1_CL1_1,1,1,NA,NA,4,1,1
8,P1_CL2_1,1,1,NA,NA,3,4,3
8,P1_CL3_1,1,1,NA,NA,1,3,2
8,P1_CL4_1,1,1,NA,NA,2,2,4
9,P1_CL1_1,1,1,NA,NA,3,3,2
9,P1_CL2_1,1,1,NA,NA,1,1,4
9,P1_CL3_1,1,1,NA,NA,2,2,3
9,P1_CL4_1,1,1,NA,NA,4,4,1
10,P1_CL1_1,1,1,NA,NA,2,2,4
10,P1_CL2_1,1,1,NA,NA,3,3,3
10,P1_CL3_1,1,1,NA,NA,4,4,1
10,P1_CL4_1,1,1,NA,NA,1,1,2
11,P1_CL1_1,1,1,NA,NA,3,3,1
11,P1_CL2_1,1,1,NA,NA,2,2,4
11,P1_CL3_1,1,1,NA,NA,1,4,2
11,P1_CL4_1,1,1,NA,NA,4,1,3
12,P1_CL1_1,1,1,NA,NA,4,1,1
12,P1_CL2_1,1,1,NA,NA,1,4,3
12,P1_CL3_1,1,1,NA,NA,3,3,4
12,P1_CL4_1,1,1,NA,NA,2,2,2
13,P1_CL1_1,1,1,NA,NA,4,2,1
13,P1_CL2_1,1,1,NA,NA,2,4,2
13,P1_CL3_1,1,1,NA,NA,1,1,3
13,P1_CL4_1,1,1,NA,NA,3,3,4
14,P1_CL1_1,1,1,NA,NA,4,3,2
14,P1_CL2_1,1,1,NA,NA,3,4,3
14,P1_CL3_1,1,1,NA,NA,2,2,4
14,P1_CL4_1,1,1,NA,NA,1,1,1
15,P1_CL1_1,1,1,NA,NA,2,2,2
15,P1_CL2_1,1,1,NA,NA,3,3,4
15,P1_CL3_1,1,1,NA,NA,4,4,3
15,P1_CL4_1,1,1,NA,NA,1,1,1
16,P1_CL1_1,1,1,NA,NA,2,2,3
16,P1_CL2_1,1,1,NA,NA,1,1,4
16,P1_CL3_1,1,1,NA,NA,3,4,1
16,P1_CL4_1,1,1,NA,NA,4,3,2
17,P1_CL1_1,1,1,NA,NA,3,1,2
17,P1_CL2_1,1,1,NA,NA,1,2,3
17,P1_CL3_1,1,1,NA,NA,2,3,1
17,P1_CL4_1,1,1,NA,NA,4,4,4
